sample  ,gene,logFC,unshrunk.logFC,logCPM,PValue,FDR,tumor,cell_line,E2_status
Adrenal.22,83449,4.006752245,4.171047867,2.322494038,0.018892168,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3293,4.006752245,4.171047867,2.322494038,0.018892168,0.999954013,Adrenal,MCF7,E2
Adrenal.22,654502,3.963993423,4.127979145,2.289067909,0.020284087,0.999954013,Adrenal,MCF7,E2
Adrenal.22,81030,3.953500708,4.037781336,3.077630643,0.011710672,0.999954013,Adrenal,MCF7,E2
Adrenal.22,10350,3.933797856,3.990475621,3.572049379,0.009139547,0.999954013,Adrenal,MCF7,E2
Adrenal.22,60494,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,894,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,6340,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,91646,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,79623,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,284948,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,401089,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,651746,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,27115,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,26261,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,158435,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,644353,3.9199285,4.083585026,2.254857036,0.021812785,0.999954013,Adrenal,MCF7,E2
Adrenal.22,8556,3.913383638,3.92488728,5.75357052,0.004874982,0.999954013,Adrenal,MCF7,E2
Adrenal.22,222967,3.911090573,4.022184481,2.698364986,0.015810956,0.999954013,Adrenal,MCF7,E2
Adrenal.22,4135,3.906382541,3.990475621,3.037751316,0.012753402,0.999954013,Adrenal,MCF7,E2
Adrenal.22,152273,3.906382541,3.990475621,3.037751316,0.012753402,0.999954013,Adrenal,MCF7,E2
Adrenal.22,101928936,3.899227267,4.20956668,1.58433319,0.040273066,0.999954013,Adrenal,MCF7,E2
Adrenal.22,8110,3.873884304,3.91647504,3.896044857,0.008625855,0.999954013,Adrenal,MCF7,E2
Adrenal.22,1113,3.861243683,4.171047867,1.558873815,0.04253455,0.999954013,Adrenal,MCF7,E2
Adrenal.22,148170,3.861243683,4.171047867,1.558873815,0.04253455,0.999954013,Adrenal,MCF7,E2
Adrenal.22,25833,3.85868895,4.021870818,2.20771789,0.024105818,0.999954013,Adrenal,MCF7,E2
Adrenal.22,80036,3.857673397,3.941566021,2.996748907,0.013919436,0.999954013,Adrenal,MCF7,E2
Adrenal.22,8515,3.856796819,3.890939948,4.179227322,0.007944475,0.999954013,Adrenal,MCF7,E2
Adrenal.22,7455,3.85156397,3.908013461,3.500319584,0.010664458,0.999954013,Adrenal,MCF7,E2
Adrenal.22,55811,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,56956,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,55753,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,338811,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,80031,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,102723320,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,85320,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,3857,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,8291,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100126791,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,2895,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,105375205,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,157273,3.827543063,3.990475621,2.183927374,0.025351321,0.999954013,Adrenal,MCF7,E2
Adrenal.22,202052,3.821659941,3.846085712,4.605771144,0.007355298,0.999954013,Adrenal,MCF7,E2
Adrenal.22,7728,3.785669078,4.094364865,1.508892665,0.04735215,0.999954013,Adrenal,MCF7,E2
Adrenal.22,85452,3.77504976,4.083585026,1.501942173,0.048064228,0.999954013,Adrenal,MCF7,E2
Adrenal.22,283460,3.77504976,4.083585026,1.501942173,0.048064228,0.999954013,Adrenal,MCF7,E2
Adrenal.22,84667,3.77504976,4.083585026,1.501942173,0.048064228,0.999954013,Adrenal,MCF7,E2
Adrenal.22,100131726,3.77504976,4.083585026,1.501942173,0.048064228,0.999954013,Adrenal,MCF7,E2
Adrenal.22,81796,3.755025261,3.838472528,2.91110922,0.016698486,0.999954013,Adrenal,MCF7,E2
Adrenal.22,146177,3.741728752,3.784024744,3.779516291,0.01108516,0.999954013,Adrenal,MCF7,E2
Adrenal.22,43849,3.741728752,3.784024744,3.779516291,0.01108516,0.999954013,Adrenal,MCF7,E2
Adrenal.22,646214,3.732649717,3.84274086,2.554129751,0.021464117,0.999954013,Adrenal,MCF7,E2
Adrenal.22,912,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,1109,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,25891,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,8608,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,341880,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
Adrenal.22,23495,3.728834337,3.890939948,2.109368049,0.029678445,0.999954013,Adrenal,MCF7,E2
