genes,logFC
401541,3.072374607
78995,3.064583977
56267,3.052090331
83464,3.052090331
645513,3.043338835
339229,3.041614506
23456,3.039349002
8227,3.020495736
100506215,3.016298738
58493,2.995601937
25895,2.991419551
57099,2.991419551
65996,2.975231224
650623,2.942912444
91298,2.92484026
100130015,2.92484026
54821,2.924251318
5569,2.921081462
9556,2.902066537
11212,2.900885332
388403,2.890787166
6307,2.867116652
427,2.866530955
132660,2.85986751
8897,2.855801139
51010,2.855258915
5890,2.833751278
56929,2.827166354
7538,2.818580378
8496,2.809070953
839,2.795309281
54741,2.783703059
91147,2.744385925
1048,2.710864704
148362,2.659954124
55421,2.653757558
23521,-2.839762866
10399,-2.847413555
2186,-2.909215717
54014,-2.956293473
1345,-2.993687944
10376,-3.01156394
5573,-3.02559727
7057,-3.050050834
4571,-3.06632718
6772,-3.080468272
7764,-3.126623895
6171,-3.13001749
5241,-3.130336927
10512,-3.141502491
3329,-3.186175807
6138,-3.216392601
3313,-3.243163317
4841,-3.247245673
55870,-3.259423885
107,-3.260555651
11083,-3.288238893
10051,-3.291405321
6201,-3.330133119
4537,-3.33069625
7531,-3.375221529
7314,-3.381827196
6498,-3.451413001
8289,-3.463457852
754,-3.485685884
57506,-3.488440461
54414,-3.500771387
10971,-3.504395773
23450,-3.506267292
57221,-3.521091572
29909,-3.522436129
57680,-3.526462296
80143,-3.540466054
5618,-3.547747463
348235,-3.549226007
10097,-3.551703706
7874,-3.55827343
1829,-3.563507753
9643,-3.638586243
5725,-3.648472076
23469,-3.674104616
11214,-3.677729512
595,-3.688005973
9669,-3.698100308
3184,-3.717013581
3187,-3.746699877
3875,-3.758042031
100529239,-3.763664687
1917,-3.767781808
57532,-3.770047543
3149,-3.775312944
8826,-3.782584145
11098,-3.795465489
7167,-3.79880558
23225,-3.812433938
23204,-3.819014139
23352,-3.836416012
3178,-3.860098243
8338,-3.885997549
1660,-3.887396582
677770,-3.90914633
1786,-3.937645148
2970,-3.945480356
103,-3.978987226
5062,-3.996069135
100093631,-3.999662309
10627,-4.009944818
6181,-4.036005251
404734,-4.0401761
55023,-4.04070462
54882,-4.07523099
3312,-4.101590877
5108,-4.123662482
10972,-4.136890304
1523,-4.190313938
84629,-4.20629741
6085,-4.267324528
124540,-4.270118922
11333,-4.279678001
9991,-4.320455461
7150,-4.390355561
1982,-4.465913152
6227,-4.521434912
54790,-4.528812763
8924,-4.56218102
4566,-4.665161385
100506492,-4.899611915
6319,-4.936390126
3150,-5.201533068
100169761,-5.413528275
100169762,-5.414050471
100169763,-5.417440143
10079,-5.543842212
7916,-5.72385133
3371,6.304538656
100128627,5.961669839
